,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
80,Sumner County,-40%,+1%,+91%,,-35%,+11%,Tennessee
81,Tipton County,-23%,+22%,,,-21%,+20%,Tennessee
82,Trousdale County,-37%,+11%,,,-52%,,Tennessee
83,Unicoi County,-25%,+16%,,,-28%,,Tennessee
84,Union County,+9%,+0%,,,-25%,,Tennessee
85,Van Buren County,,,,,-58%,,Tennessee
86,Warren County,-18%,+21%,,,-24%,+14%,Tennessee
87,Washington County,-50%,-5%,+38%,-23%,-33%,+9%,Tennessee
88,Wayne County,-29%,+16%,,,-50%,,Tennessee
89,Weakley County,-40%,+2%,,,-28%,+7%,Tennessee
90,White County,-33%,+19%,,,-19%,-1%,Tennessee
91,Williamson County,-51%,-8%,+47%,-39%,-37%,+13%,Tennessee
0,Anderson County,-35%,-2%,,,-24%,+16%,Texas
1,Andrews County,-45%,-40%,,-13%,-36%,,Texas
2,Angelina County,-46%,-4%,-20%,-38%,-29%,+13%,Texas
3,Aransas County,-45%,-31%,-57%,,-27%,+10%,Texas
4,Archer County,,,,,-42%,,Texas
5,Atascosa County,-22%,-4%,,-50%,-25%,+22%,Texas
6,Austin County,-33%,-22%,,,-29%,+1%,Texas
7,Bailey County,-24%,-8%,,,-35%,,Texas
8,Bandera County,-45%,-5%,-71%,,-30%,,Texas
9,Bastrop County,-37%,-21%,-66%,,-36%,+16%,Texas
10,Bee County,-31%,-8%,,,-26%,-1%,Texas
11,Bell County,-37%,-18%,-25%,-43%,-34%,+13%,Texas
12,Bexar County,-45%,-10%,-73%,-43%,-41%,+16%,Texas
13,Blanco County,-67%,-20%,-71%,,-35%,,Texas
14,Bosque County,-37%,-7%,,,-16%,,Texas
15,Bowie County,-47%,-12%,-29%,-39%,-30%,+13%,Texas
16,Brazoria County,-36%,-8%,-23%,-28%,-32%,+15%,Texas
17,Brazos County,-47%,-21%,-30%,-64%,-35%,+15%,Texas
18,Brewster County,-52%,-43%,,,-50%,,Texas
19,Brooks County,-55%,-9%,,-55%,-44%,,Texas
20,Brown County,-37%,-6%,,,-23%,+16%,Texas
21,Burleson County,-34%,-10%,,,-29%,,Texas
22,Burnet County,-36%,-14%,-62%,,-32%,+17%,Texas
23,Caldwell County,-36%,-31%,,-32%,-33%,+23%,Texas
24,Calhoun County,-39%,-17%,-38%,,-20%,,Texas
25,Callahan County,-30%,-15%,,-33%,-20%,,Texas
26,Cameron County,-62%,-35%,-74%,-71%,-42%,+22%,Texas
27,Camp County,-32%,-9%,,,-35%,,Texas
28,Carson County,,-24%,,-23%,-52%,,Texas
29,Cass County,-36%,-3%,,-28%,-26%,+6%,Texas
30,Castro County,,-20%,,,-31%,,Texas
31,Chambers County,-43%,-2%,-55%,-56%,-35%,+20%,Texas
32,Cherokee County,-21%,+1%,,,-29%,+17%,Texas
33,Childress County,-36%,-20%,,-26%,-41%,,Texas
34,Clay County,-51%,,,-35%,-38%,,Texas
35,Coke County,,-30%,,,,,Texas
36,Coleman County,-48%,-19%,,,-35%,,Texas
37,Collin County,-52%,-27%,-44%,-40%,-44%,+19%,Texas
38,Colorado County,-44%,-11%,,-49%,-15%,,Texas
39,Comal County,-49%,-22%,-70%,-33%,-38%,+16%,Texas
40,Comanche County,-28%,-29%,,,-40%,,Texas
41,Cooke County,-42%,+0%,-38%,-47%,-31%,+15%,Texas
42,Coryell County,-32%,+0%,-14%,,-32%,+13%,Texas
43,Crane County,-63%,-20%,,,-53%,,Texas
44,Crockett County,-50%,-24%,,,,,Texas
45,Crosby County,,-24%,,,-52%,,Texas
46,Culberson County,-54%,,,-43%,,,Texas
47,Dallam County,-38%,-21%,,,-28%,,Texas
48,Dallas County,-47%,-14%,-56%,-48%,-42%,+18%,Texas
49,Dawson County,-35%,-9%,,,-36%,,Texas
50,DeWitt County,-38%,-27%,,,-25%,,Texas
51,Deaf Smith County,-26%,-14%,,-41%,-39%,,Texas
52,Delta County,,,,,-42%,,Texas
53,Denton County,-48%,-22%,-40%,-45%,-43%,+19%,Texas
54,Dimmit County,-31%,-24%,,-38%,-49%,,Texas
55,Donley County,,,,-4%,,,Texas
56,Duval County,-46%,-30%,,,-53%,,Texas
57,Eastland County,-42%,-12%,,-38%,-14%,,Texas
58,Ector County,-44%,-9%,,-23%,-33%,+16%,Texas
59,El Paso County,-51%,-14%,-78%,-45%,-42%,+19%,Texas
60,Ellis County,-39%,-3%,-42%,-43%,-36%,+17%,Texas
61,Erath County,-43%,-34%,,,-24%,+10%,Texas
62,Falls County,-16%,-10%,,,-20%,,Texas
63,Fannin County,-23%,-2%,,,-23%,+11%,Texas
64,Fayette County,-52%,-24%,,-45%,-29%,,Texas
65,Floyd County,,,,,-38%,,Texas
66,Fort Bend County,-46%,-13%,-27%,-34%,-40%,+18%,Texas
67,Franklin County,-43%,-2%,,-40%,-41%,,Texas
68,Freestone County,-54%,-13%,,-51%,-22%,,Texas
69,Frio County,-25%,-30%,,-52%,-22%,,Texas
70,Gaines County,-33%,-8%,,,-17%,,Texas
71,Galveston County,-43%,-2%,-53%,-54%,-37%,+15%,Texas
72,Garza County,-40%,-28%,,,,,Texas
73,Gillespie County,-63%,-32%,-78%,,-37%,,Texas
74,Goliad County,-54%,-54%,,,-43%,,Texas
75,Gonzales County,-32%,-24%,-50%,,-23%,,Texas
76,Gray County,-47%,-27%,,,-32%,,Texas
77,Grayson County,-43%,-11%,-35%,,-33%,+15%,Texas
78,Gregg County,-46%,-11%,-30%,,-32%,+14%,Texas
79,Grimes County,-28%,-5%,,,-29%,+0%,Texas
80,Guadalupe County,-40%,-12%,-42%,-47%,-38%,+16%,Texas
81,Hale County,-23%,+12%,,,-25%,+11%,Texas
82,Hall County,,,,-20%,,,Texas
83,Hamilton County,-54%,-35%,,,-37%,,Texas
84,Hardeman County,,-24%,,-21%,,,Texas
85,Hardin County,-30%,+5%,,,-31%,+23%,Texas
86,Harris County,-44%,-13%,-62%,-56%,-40%,+17%,Texas
87,Harrison County,-35%,+8%,-46%,,-38%,+20%,Texas
88,Hartley County,,+6%,,,,,Texas
89,Haskell County,-44%,-34%,,,,,Texas
90,Hays County,-48%,-15%,-44%,-31%,-37%,+17%,Texas
91,Henderson County,-33%,+7%,-29%,,-28%,+13%,Texas
92,Hidalgo County,-57%,-30%,-73%,-61%,-40%,+21%,Texas
93,Hill County,-38%,-8%,-42%,-46%,-27%,+14%,Texas
94,Hockley County,-33%,-22%,,,-21%,-3%,Texas
95,Hood County,-40%,+32%,-60%,,-29%,+17%,Texas
96,Hopkins County,-36%,+0%,,-41%,-21%,+12%,Texas
97,Houston County,-30%,+4%,,,-19%,,Texas
98,Howard County,-34%,-17%,,-44%,-35%,+15%,Texas
99,Hunt County,-36%,-12%,-36%,-35%,-31%,+14%,Texas
100,Hutchinson County,-31%,-17%,,,-19%,,Texas
101,Jack County,-67%,,,,-43%,,Texas
102,Jackson County,-35%,-16%,,-51%,-23%,,Texas
103,Jasper County,-24%,+0%,+15%,,-21%,+6%,Texas
104,Jefferson County,-45%,-5%,-20%,-39%,-33%,+15%,Texas
105,Jim Hogg County,,-47%,,,,,Texas
106,Jim Wells County,-28%,-1%,,,-31%,+15%,Texas
107,Johnson County,-35%,-12%,-28%,,-34%,+15%,Texas
108,Jones County,-33%,-11%,,,-20%,,Texas
109,Karnes County,-23%,-22%,,-51%,-14%,,Texas
110,Kaufman County,-40%,-14%,-49%,-34%,-34%,+17%,Texas
111,Kendall County,-45%,-19%,-56%,-43%,-38%,+14%,Texas
112,Kerr County,-39%,-14%,-45%,,-28%,+18%,Texas
113,Kimble County,-51%,,,-30%,,,Texas
114,Kleberg County,-40%,-27%,-73%,-45%,-31%,+16%,Texas
115,La Salle County,-65%,-26%,,-58%,,,Texas
116,Lamar County,-38%,-8%,,-43%,-22%,+16%,Texas
117,Lamb County,-19%,-11%,,,-22%,,Texas
118,Lampasas County,-42%,-31%,,,-30%,,Texas
119,Lavaca County,-35%,-16%,,,-26%,,Texas
120,Lee County,-42%,-41%,,,-27%,,Texas
121,Leon County,-71%,-40%,-33%,-47%,-17%,,Texas
122,Liberty County,-27%,+10%,,-27%,-33%,+14%,Texas
123,Limestone County,-36%,-23%,,,-25%,,Texas
124,Live Oak County,-73%,-36%,,-59%,-34%,,Texas
125,Llano County,-38%,-24%,-24%,,-28%,,Texas
126,Loving County,,-49%,,,,,Texas
127,Lubbock County,-41%,-3%,+34%,-31%,-33%,+12%,Texas
128,Lynn County,,,,,-49%,,Texas
129,Madison County,-43%,-59%,,,-24%,,Texas
130,Marion County,-45%,-4%,,,-39%,,Texas
131,Martin County,-33%,-14%,,,-50%,,Texas
132,Matagorda County,-35%,-10%,-57%,,-21%,+14%,Texas
133,Maverick County,-57%,-33%,-90%,-75%,-34%,+27%,Texas
134,McCulloch County,-37%,-22%,,,-39%,,Texas
135,McLennan County,-46%,-14%,-31%,-42%,-36%,+14%,Texas
136,McMullen County,,,,-65%,,,Texas
137,Medina County,-21%,+5%,-59%,-42%,-33%,+23%,Texas
138,Midland County,-50%,-15%,-43%,-36%,-32%,+16%,Texas
139,Milam County,-39%,-20%,,,-31%,,Texas
140,Mitchell County,-50%,-23%,-70%,,-33%,,Texas
141,Montague County,-18%,-33%,,,-24%,,Texas
142,Montgomery County,-44%,-7%,-33%,-41%,-38%,+15%,Texas
143,Moore County,-33%,-17%,,-29%,+12%,-1%,Texas
144,Morris County,-32%,-10%,,,-20%,,Texas
145,Nacogdoches County,-42%,-12%,-3%,-45%,-30%,+22%,Texas
146,Navarro County,-49%,+27%,-36%,-58%,-34%,+19%,Texas
147,Newton County,,-2%,,,-53%,,Texas
148,Nolan County,-35%,-12%,,-37%,-20%,,Texas
149,Nueces County,-43%,-9%,-37%,-42%,-36%,+14%,Texas
150,Ochiltree County,-41%,-14%,,,-33%,,Texas
151,Oldham County,,,,-13%,,,Texas
152,Orange County,-23%,+6%,-52%,-38%,-30%,+14%,Texas
153,Palo Pinto County,-25%,-3%,,-50%,-29%,+8%,Texas
154,Panola County,-38%,-19%,,-53%,-29%,,Texas
155,Parker County,-39%,-6%,-41%,-42%,-34%,+14%,Texas
156,Parmer County,,-4%,,,-21%,,Texas
157,Pecos County,-39%,-28%,,-30%,-31%,,Texas
158,Polk County,-27%,+2%,-24%,-43%,-29%,+15%,Texas
159,Potter County,-45%,-3%,-4%,-25%,-27%,+11%,Texas
160,Presidio County,-52%,-42%,,,-60%,,Texas
161,Rains County,-53%,-25%,,,-22%,,Texas
162,Randall County,-36%,-4%,-37%,-25%,-30%,+11%,Texas
163,Reagan County,,-22%,,-46%,,,Texas
164,Real County,,-38%,,,,,Texas
165,Red River County,-54%,+4%,,,-37%,,Texas
166,Reeves County,-45%,-26%,,-35%,-17%,,Texas
167,Refugio County,-69%,-44%,,-57%,-44%,,Texas
168,Robertson County,-52%,-25%,,-47%,-10%,,Texas
169,Rockwall County,-46%,-10%,,-40%,-38%,+26%,Texas
170,Runnels County,-25%,-17%,,,-37%,,Texas
171,Rusk County,-24%,+6%,,,-20%,+19%,Texas
172,Sabine County,-35%,-2%,,,-40%,,Texas
173,San Augustine County,-64%,-14%,,,-48%,,Texas
174,San Jacinto County,-51%,+3%,-40%,,-27%,+5%,Texas
175,San Patricio County,-32%,-13%,-44%,-32%,-27%,+13%,Texas
176,San Saba County,-32%,,,,,,Texas
177,Scurry County,-26%,-20%,,,-26%,,Texas
178,Shelby County,-46%,-19%,,,-21%,,Texas
179,Sherman County,,,,-25%,,,Texas
180,Smith County,-46%,-12%,-45%,-37%,-31%,+14%,Texas
181,Somervell County,-59%,-22%,,,-48%,,Texas
182,Starr County,-42%,-20%,-68%,,-26%,+28%,Texas
183,Stephens County,-34%,,,,-39%,,Texas
184,Sutton County,-66%,-27%,,,,,Texas
185,Swisher County,,-2%,,,-38%,,Texas
186,Tarrant County,-48%,-9%,-40%,-72%,-39%,+17%,Texas
187,Taylor County,-42%,-10%,-35%,-19%,-31%,+13%,Texas
188,Terry County,-30%,-27%,,,-14%,,Texas
189,Titus County,-37%,+6%,,,-21%,+13%,Texas
190,Tom Green County,-51%,-13%,-50%,,-33%,+14%,Texas
191,Travis County,-56%,-24%,-63%,-69%,-44%,+19%,Texas
192,Trinity County,-56%,-10%,,,-30%,,Texas
193,Tyler County,-32%,+5%,,,-21%,,Texas
194,Upshur County,-25%,+4%,,,-32%,+14%,Texas
195,Upton County,,-25%,,,-49%,,Texas
196,Uvalde County,-35%,-23%,-63%,,-25%,,Texas
197,Val Verde County,-48%,-21%,-35%,,-27%,+24%,Texas
198,Van Zandt County,-44%,-13%,-29%,-44%,-28%,+17%,Texas
199,Victoria County,-47%,-18%,-63%,-40%,-33%,+15%,Texas
200,Walker County,-43%,-7%,-39%,-42%,-32%,+15%,Texas
201,Waller County,-48%,-5%,,-36%,-32%,+26%,Texas
202,Ward County,-33%,-29%,,+22%,-24%,,Texas
203,Washington County,-34%,-14%,,,-28%,-2%,Texas
204,Webb County,-55%,-30%,-78%,-43%,-37%,+20%,Texas
205,Wharton County,-27%,-29%,,-44%,-25%,+15%,Texas
206,Wheeler County,-41%,,,,,,Texas
207,Wichita County,-44%,-9%,-17%,-33%,-34%,+14%,Texas
208,Wilbarger County,-23%,-15%,,-40%,-16%,,Texas
209,Willacy County,-58%,-38%,,,-26%,,Texas
210,Williamson County,-51%,-21%,-52%,-53%,-42%,+18%,Texas
211,Wilson County,-30%,-42%,-40%,,-32%,+24%,Texas
212,Winkler County,-30%,-32%,,+0%,-20%,,Texas
213,Wise County,-35%,-10%,-37%,-40%,-26%,+17%,Texas
214,Wood County,-33%,-1%,,,-28%,+17%,Texas
215,Yoakum County,-34%,-12%,,,-51%,,Texas
216,Young County,-60%,+43%,,,-34%,,Texas
217,Zapata County,-55%,-30%,,,-49%,,Texas
0,Beaver County,-63%,,,-24%,-32%,,Utah
1,Box Elder County,-23%,-7%,+13%,-17%,-22%,+16%,Utah
2,Cache County,-36%,+9%,+47%,+8%,-30%,+11%,Utah
3,Carbon County,-26%,-13%,,,-24%,,Utah
4,Davis County,-39%,+2%,+24%,-18%,-33%,+12%,Utah
5,Duchesne County,-25%,+12%,,,-22%,,Utah
6,Emery County,-55%,+2%,,,-45%,,Utah
7,Garfield County,,,-4%,,,,Utah
8,Grand County,-54%,-2%,-20%,,-29%,,Utah
9,Iron County,-36%,-13%,,-22%,-32%,+15%,Utah
10,Juab County,-25%,-15%,,-29%,-28%,,Utah
11,Kane County,-31%,-15%,-10%,,-39%,,Utah
12,Millard County,-16%,+67%,,,-2%,,Utah
13,Morgan County,-68%,-2%,,,-52%,,Utah
14,Salt Lake County,-48%,-7%,+14%,-60%,-35%,+13%,Utah
15,San Juan County,-35%,+34%,-30%,,-50%,,Utah
16,Sanpete County,-9%,-7%,,,-16%,,Utah
17,Sevier County,-23%,+2%,,+12%,-14%,,Utah
18,Summit County,-80%,-59%,-48%,-65%,-70%,+6%,Utah
19,Tooele County,-18%,+31%,,-13%,-32%,+16%,Utah
20,Uintah County,-31%,+1%,+0%,,-35%,+5%,Utah
21,Utah County,-40%,-4%,+94%,-3%,-37%,+12%,Utah
22,Wasatch County,-49%,-32%,+20%,,-54%,+4%,Utah
23,Washington County,-38%,-3%,-9%,-22%,-31%,+9%,Utah
0,Addison County,-46%,-32%,,,-32%,+6%,Vermont
1,Bennington County,-55%,-24%,-35%,,-46%,+8%,Vermont
2,Caledonia County,-57%,-29%,,,-32%,+2%,Vermont
3,Chittenden County,-57%,-39%,+1%,-63%,-48%,+17%,Vermont
4,Essex County,,,,,-42%,,Vermont
5,Franklin County,-44%,-25%,,,-36%,+21%,Vermont
6,Grand Isle County,,,,-63%,-57%,,Vermont
7,Lamoille County,-76%,-35%,,-40%,-63%,,Vermont
8,Orange County,-70%,-14%,,-68%,-28%,+1%,Vermont
9,Orleans County,-58%,-15%,-46%,,-37%,+0%,Vermont
10,Rutland County,-50%,-10%,,-76%,-47%,+23%,Vermont
11,Washington County,-56%,-21%,,-47%,-43%,+23%,Vermont
12,Windham County,-65%,-27%,-36%,,-50%,+15%,Vermont
0,Accomack County,-24%,-4%,,,-19%,+14%,Virginia
1,Albemarle County,-48%,-18%,-2%,-61%,-39%,+25%,Virginia
2,Alexandria,-58%,-16%,+9%,-62%,-46%,+18%,Virginia
3,Alleghany County,-17%,,,-22%,-25%,,Virginia
4,Amelia County,-60%,-21%,,,-43%,,Virginia
5,Amherst County,-2%,-2%,,,-23%,+8%,Virginia
6,Appomattox County,-21%,+12%,,,-20%,,Virginia
7,Arlington County,-67%,-23%,-21%,-81%,-51%,+19%,Virginia
8,Augusta County,-38%,-6%,-22%,+13%,-27%,+20%,Virginia
9,Bath County,,,-73%,,,,Virginia
10,Bedford County,-28%,+3%,,,-26%,+20%,Virginia
11,Bland County,,,,-32%,-49%,,Virginia
12,Botetourt County,-58%,-18%,,-31%,-34%,+14%,Virginia
13,Sat Apr 11,-65%,-13%,,,-33%,,Virginia
14,Brunswick County,-42%,,,-57%,-20%,,Virginia
15,Buchanan County,-26%,+0%,,,-43%,,Virginia
16,Buckingham County,-16%,-12%,,,-42%,,Virginia
17,Buena Vista,-40%,-14%,,,-53%,,Virginia
18,Campbell County,-26%,+3%,,,-32%,+18%,Virginia
19,Caroline County,-47%,-21%,-68%,-36%,-23%,+18%,Virginia
20,Carroll County,-19%,+7%,,-29%,-23%,+4%,Virginia
21,Charles City County,,,,,-41%,,Virginia
22,Charlotte County,-7%,+17%,,,-38%,,Virginia
23,Charlottesville,-68%,-24%,-22%,-49%,-51%,+15%,Virginia
24,Chesapeake,-35%,-15%,+35%,-6%,-34%,+12%,Virginia
25,Chesterfield County,-38%,-16%,+34%,-37%,-33%,+13%,Virginia
26,Clarke County,-45%,-21%,,,-48%,,Virginia
27,Colonial Heights,-44%,-17%,,,-28%,,Virginia
28,Covington,-40%,-9%,,,-42%,,Virginia
29,Craig County,,,,,-43%,,Virginia
30,Culpeper County,-26%,-6%,,,-28%,+19%,Virginia
31,Cumberland County,-62%,,,,-38%,,Virginia
32,Danville,-38%,+2%,,-28%,-28%,+15%,Virginia
33,Dickenson County,-23%,-16%,,,-46%,,Virginia
34,Dinwiddie County,+34%,-26%,,-46%,-17%,+14%,Virginia
35,Essex County,-25%,-8%,,,-16%,,Virginia
36,Fairfax County,-51%,-21%,+14%,-50%,-47%,+19%,Virginia
37,Falls Church,-67%,-47%,,,-76%,,Virginia
38,Fauquier County,-29%,-27%,,,-25%,+24%,Virginia
39,Floyd County,-37%,+6%,,,-47%,,Virginia
40,Fluvanna County,-79%,-34%,,,-29%,-1%,Virginia
41,Franklin County,-24%,+2%,,,-29%,+18%,Virginia
42,Frederick County,-35%,-12%,-13%,-29%,-29%,+12%,Virginia
43,Fredericksburg,-50%,-24%,+10%,-64%,-38%,+0%,Virginia
44,Giles County,-26%,+16%,,,-15%,,Virginia
45,Gloucester County,-24%,-8%,,,-22%,+18%,Virginia
46,Goochland County,-44%,-23%,,,-23%,,Virginia
47,Grayson County,,,,,-39%,,Virginia
48,Greene County,-18%,-18%,,,-29%,,Virginia
49,Greensville County,,,,-42%,-37%,,Virginia
50,Halifax County,-20%,-7%,,,-24%,+12%,Virginia
51,Hampton,-36%,+6%,+49%,-5%,-34%,+12%,Virginia
52,Hanover County,-34%,-14%,,-30%,-31%,+23%,Virginia
53,Harrisonburg,-52%,-26%,,-31%,-46%,+22%,Virginia
54,Henrico County,-44%,-16%,+36%,-69%,-38%,+13%,Virginia
55,Henry County,-20%,+3%,,,-26%,+17%,Virginia
56,Hopewell,-19%,+0%,,,-28%,+11%,Virginia
57,Isle of Wight County,-25%,+9%,,,-24%,+20%,Virginia
58,James City County,-59%,+1%,-2%,,-43%,+22%,Virginia
59,King George County,-38%,-18%,,-33%,-30%,+0%,Virginia
60,King William County,-24%,+3%,,,-22%,,Virginia
61,King and Queen County,,,,,-37%,,Virginia
62,Lancaster County,-23%,+6%,,,-29%,,Virginia
63,Lee County,-34%,+10%,,,-16%,,Virginia
64,Lexington,-55%,-21%,,,,,Virginia
65,Loudoun County,-49%,-13%,-16%,-82%,-44%,+17%,Virginia
66,Louisa County,-16%,-6%,,,-25%,+18%,Virginia
67,Lunenburg County,,-4%,,,-36%,,Virginia
68,Lynchburg,-46%,-9%,,+9%,-39%,+19%,Virginia
69,Madison County,-48%,-27%,,,-44%,,Virginia
70,Manassas,-35%,-2%,,-56%,-35%,+25%,Virginia
71,Manassas Park,-60%,-11%,,,-39%,,Virginia
72,Martinsville,-38%,+8%,,,-22%,,Virginia
73,Mathews County,-62%,+2%,,,-38%,,Virginia
74,Mecklenburg County,-22%,+4%,+4%,-38%,-20%,+5%,Virginia
75,Middlesex County,-43%,+1%,,,-36%,,Virginia
76,Montgomery County,-52%,-3%,,-27%,-40%,+26%,Virginia
77,Nelson County,-53%,-3%,,,-35%,,Virginia
78,New Kent County,-38%,-10%,,-36%,-31%,,Virginia
79,Newport News,-39%,-5%,+49%,-26%,-34%,+11%,Virginia
80,Norfolk,-42%,-2%,+5%,-52%,-35%,+11%,Virginia
81,Northampton County,-32%,-33%,,,-14%,,Virginia
82,Northumberland County,-13%,-17%,,,-29%,,Virginia
83,Nottoway County,-30%,+40%,,,-16%,,Virginia
84,Orange County,-21%,+4%,,,-25%,+11%,Virginia
85,Page County,-29%,-2%,-29%,,-33%,,Virginia
86,Patrick County,-20%,+19%,,,-26%,,Virginia
87,Petersburg,-25%,-3%,,-8%,-24%,+18%,Virginia
88,Pittsylvania County,-14%,+10%,,,-21%,+17%,Virginia
89,Poquoson,-16%,-7%,,,-54%,,Virginia
90,Portsmouth,-17%,-4%,+12%,+9%,-30%,+10%,Virginia
91,Powhatan County,-35%,-32%,,,-34%,+8%,Virginia
92,Prince Edward County,-34%,-17%,,,-31%,,Virginia
93,Prince George County,-25%,-8%,,-28%,-23%,+20%,Virginia
94,Prince William County,-44%,-18%,+35%,-40%,-39%,+16%,Virginia
95,Pulaski County,-16%,+1%,,,-32%,+15%,Virginia
96,Rappahannock County,,,,,-37%,,Virginia
97,Richmond,-53%,-7%,+34%,-31%,-39%,+12%,Virginia
98,Richmond County,-25%,-25%,,,-33%,,Virginia
99,Roanoke,-45%,-5%,+6%,-32%,-33%,+10%,Virginia
100,Roanoke County,-30%,-7%,,,-35%,+11%,Virginia
101,Rockbridge County,-32%,,,-31%,-28%,,Virginia
102,Rockingham County,-33%,-9%,+25%,-44%,-31%,+11%,Virginia
103,Russell County,-37%,-22%,,,-19%,,Virginia
104,-80%,-33%,+1%,-16%,+10%,-29%,+11%,Virginia
105,Scott County,-24%,-9%,,,-26%,,Virginia
106,Shenandoah County,-29%,-5%,,-36%,-37%,+20%,Virginia
107,Smyth County,-30%,+4%,,-14%,-15%,+4%,Virginia
108,Southampton County,-44%,-1%,,,-15%,,Virginia
109,Spotsylvania County,-41%,-7%,,,-33%,+12%,Virginia
110,Stafford County,-26%,-18%,+54%,,-35%,+14%,Virginia
111,Staunton,-31%,-15%,,,-30%,+0%,Virginia
112,Surry County,,,,,-46%,,Virginia
113,Sussex County,-47%,+22%,,-52%,-32%,,Virginia
114,Tazewell County,-14%,-8%,,,-18%,+11%,Virginia
115,Virginia Beach,-40%,-11%,+5%,-29%,-37%,+13%,Virginia
116,Warren County,-24%,-11%,,,-30%,+21%,Virginia
117,Washington County,-49%,-9%,,-33%,-24%,+18%,Virginia
118,Waynesboro,-34%,-24%,,,-28%,-1%,Virginia
119,Westmoreland County,-41%,+6%,,,-26%,,Virginia
120,Williamsburg,-72%,-38%,,,-47%,,Virginia
121,Winchester,-52%,-22%,-67%,,-36%,+9%,Virginia
122,Wise County,-28%,-17%,,,-27%,+6%,Virginia
123,Wythe County,-43%,-5%,,-24%,-23%,-2%,Virginia
0,Adams County,-38%,+19%,,-17%,-31%,,Washington
1,Asotin County,-24%,,,,-29%,+7%,Washington
2,Benton County,-46%,-7%,+24%,-20%,-36%,+11%,Washington
3,Chelan County,-48%,-13%,-21%,-23%,-45%,+18%,Washington
4,Clallam County,-37%,-13%,+3%,-8%,-34%,+16%,Washington
5,Clark County,-40%,-14%,+53%,-31%,-38%,+13%,Washington
6,Cowlitz County,-31%,+6%,+28%,-32%,-32%,+10%,Washington
7,Douglas County,-54%,+9%,,-37%,-39%,+17%,Washington
8,Ferry County,,,,,-38%,,Washington
9,Franklin County,-32%,-1%,-16%,-44%,-34%,+11%,Washington
10,Grant County,-32%,+8%,-1%,-44%,-28%,+9%,Washington
11,Grays Harbor County,-37%,-3%,-9%,-20%,-39%,+10%,Washington
12,Island County,-34%,-16%,+9%,-45%,-40%,+20%,Washington
13,Jefferson County,-58%,-33%,-8%,-44%,-38%,+2%,Washington
14,King County,-59%,-19%,-5%,-63%,-48%,+17%,Washington
15,Kitsap County,-43%,-8%,-10%,-60%,-39%,+13%,Washington
16,Kittitas County,-48%,-7%,-26%,-13%,-47%,+18%,Washington
17,Klickitat County,-50%,-2%,,,-34%,,Washington
18,Lewis County,-42%,+0%,-11%,-22%,-30%,+11%,Washington
19,Lincoln County,,,,,-45%,,Washington
20,Mason County,-16%,-7%,+15%,,-33%,+17%,Washington
21,Okanogan County,-29%,+7%,,,-36%,+9%,Washington
22,Pacific County,-41%,-14%,-26%,,-33%,,Washington
23,Pend Oreille County,-57%,-1%,,,-38%,,Washington
24,Pierce County,-46%,-5%,-2%,-24%,-39%,+13%,Washington
25,San Juan County,-82%,-42%,,-57%,-39%,,Washington
26,Skagit County,-42%,-5%,+28%,-27%,-41%,+13%,Washington
27,Skamania County,-65%,,-38%,,-45%,,Washington
28,Snohomish County,-46%,-15%,+18%,-40%,-44%,+15%,Washington
29,Spokane County,-40%,+1%,+25%,-38%,-36%,+11%,Washington
30,Stevens County,-26%,+1%,+18%,,-28%,+13%,Washington
31,Thurston County,-45%,-7%,-17%,-29%,-39%,+13%,Washington
32,Walla Walla County,-39%,-7%,,-35%,-39%,+16%,Washington
33,Whatcom County,-52%,-20%,-9%,-62%,-43%,+14%,Washington
34,Whitman County,-45%,-24%,,,-35%,+21%,Washington
0,Barbour County,-49%,-1%,,,-20%,,West Virginia
1,Berkeley County,-34%,-6%,-18%,-63%,-32%,+11%,West Virginia
2,Boone County,-40%,+8%,,,-28%,,West Virginia
3,Braxton County,-41%,,,-45%,-47%,,West Virginia
4,Brooke County,-35%,-4%,,,-32%,,West Virginia
5,Cabell County,-50%,-7%,,-45%,-37%,+10%,West Virginia
6,Fayette County,-32%,+3%,,,-30%,+7%,West Virginia
7,Grant County,-46%,+4%,,,-43%,,West Virginia
8,Greenbrier County,-47%,-14%,,,-40%,+0%,West Virginia
9,Hampshire County,-38%,+0%,,,-28%,,West Virginia
10,Hancock County,-39%,-27%,,,-40%,+10%,West Virginia
11,Hardy County,-53%,-14%,,,-38%,,West Virginia
12,Harrison County,-45%,-6%,-43%,-62%,-30%,+20%,West Virginia
13,Jackson County,-29%,-18%,,-40%,-21%,,West Virginia
14,Jefferson County,-33%,-30%,-6%,,-42%,+23%,West Virginia
15,Kanawha County,-43%,-2%,-38%,-43%,-33%,+11%,West Virginia
16,Lewis County,-39%,-18%,,-55%,-36%,,West Virginia
17,Lincoln County,,,,,-44%,,West Virginia
18,Logan County,-34%,+2%,,,-27%,,West Virginia
19,Marion County,-37%,+4%,,,-27%,+21%,West Virginia
20,Marshall County,-35%,-20%,,,-30%,+1%,West Virginia
21,Mason County,-39%,+11%,,,-24%,,West Virginia
22,McDowell County,,+13%,,,-33%,,West Virginia
23,Mercer County,-36%,+3%,-42%,-45%,-26%,+19%,West Virginia
24,Mineral County,-40%,-4%,,,-19%,-2%,West Virginia
25,Mingo County,-63%,,,,-49%,,West Virginia
26,Monongalia County,-52%,-19%,-14%,-47%,-39%,+26%,West Virginia
